"","coef","se","pval","country","formula","capital","dgvm","iso3"
"I(temp^2)",0.00295702876039906,0.0176440505040604,0.867320782794946,"AE","sq","mN","lpj","ARE"
"I(temp^2)1",0.00018494726621714,0.0195879287640482,0.992489781917855,"AE","sq","nN","lpj","ARE"
"I(temp^2)2",0.0992704892035128,0.0884362841732878,0.275631499773799,"AE","sq","mN","orc","ARE"
"I(temp^2)3",0.111627985947865,0.0977935952839731,0.267859204803168,"AE","sq","nN","orc","ARE"
"I(temp^2)4",0.0039807809505391,0.00500281203544607,0.429889480624771,"AE","sq","mN","car","ARE"
"I(temp^2)5",-0.004224587354624,0.0127192662285808,0.741144187791449,"AE","sq","nN","car","ARE"
"I(temp^2)6",0.0049878039218818,0.0137907674881751,0.718034744768805,"AE","sq","mN","all","ARE"
"I(temp^2)7",0.00304419255598766,0.0155986900631489,0.845499101966968,"AE","sq","nN","all","ARE"
"log(temp + 1)",-0.0629155011230064,0.226142023882757,0.78155832261805,"AE","log","mN","lpj","ARE"
"log(temp + 1)1",-0.0683733497916102,0.251096772195268,0.786085200968969,"AE","log","nN","lpj","ARE"
"log(temp + 1)2",0.418867919598218,0.431669990798043,0.344067073559589,"AE","log","mN","orc","ARE"
"log(temp + 1)3",0.523457348947928,0.474937265663801,0.284157707445387,"AE","log","nN","orc","ARE"
"log(temp + 1)4",0.0933116925960435,0.0303198885241935,0.00335407590592703,"AE","log","mN","car","ARE"
"log(temp + 1)5",0.023273757272105,0.0831224067691959,0.780614823755619,"AE","log","nN","car","ARE"
"log(temp + 1)6",0.0451237706154568,0.147310543402924,0.759731387646353,"AE","log","mN","all","ARE"
"log(temp + 1)7",0.047744657776714,0.164102672782076,0.771442798934156,"AE","log","nN","all","ARE"
"temp",-0.00956202505210499,0.081653207121091,0.907066475373744,"AE","lin","mN","lpj","ARE"
"temp1",-0.0177350335421066,0.0906338111324979,0.845352336968612,"AE","lin","nN","lpj","ARE"
"temp2",0.235365935240493,0.219288312335134,0.296572093370262,"AE","lin","mN","orc","ARE"
"temp3",0.284036521672439,0.241613650807869,0.254283557134309,"AE","lin","nN","orc","ARE"
"temp4",0.0307399848484639,0.0143303016800288,0.0367293550177973,"AE","lin","mN","car","ARE"
"temp5",-8.0116171952446e-05,0.0377646324034365,0.998315597414068,"AE","lin","nN","car","ARE"
"temp6",0.0160212953675834,0.0578782376568646,0.782256182371358,"AE","lin","mN","all","ARE"
"temp7",0.0114158901754612,0.064995320652554,0.8607808372091,"AE","lin","nN","all","ARE"
"I(temp^2)8",-0.00712507634608344,0.00170835659937717,7.49761254473774e-05,"AL","sq","mN","lpj","ALB"
"I(temp^2)9",-0.0150237631010891,0.00223408213966799,2.18054690198949e-09,"AL","sq","nN","lpj","ALB"
"I(temp^2)10",-0.00274615182345847,0.00217157075725166,0.219872538047521,"AL","sq","mN","orc","ALB"
"I(temp^2)11",-0.00357634245390386,0.00240414783542144,0.151726352505947,"AL","sq","nN","orc","ALB"
"I(temp^2)12",-0.0115742678647122,0.00388135266840044,0.00438262676347867,"AL","sq","mN","car","ALB"
"I(temp^2)13",-0.0142329013136172,0.00777051096149583,0.0728460778023554,"AL","sq","nN","car","ALB"
"I(temp^2)14",-0.0101367002100333,0.00159999488546461,1.91783200903211e-09,"AL","sq","mN","all","ALB"
"I(temp^2)15",-0.0203694794090593,0.00237726351883515,5.17443074808972e-15,"AL","sq","nN","all","ALB"
"log(temp + 1)8",-0.0365482529574467,0.02386930621355,0.129573398082669,"AL","log","mN","lpj","ALB"
"log(temp + 1)9",-0.124672396108747,0.0329117721549661,0.000288395527313973,"AL","log","nN","lpj","ALB"
"log(temp + 1)10",-0.0083141923338856,0.0117197249399428,0.48586739197028,"AL","log","mN","orc","ALB"
"log(temp + 1)11",-0.00529864366779859,0.0132553826658726,0.693388208190291,"AL","log","nN","orc","ALB"
"log(temp + 1)12",-0.0145663483000458,0.0274301827567616,0.597700688824464,"AL","log","mN","car","ALB"
"log(temp + 1)13",0.00278060214537045,0.0523745814191512,0.957867074429863,"AL","log","nN","car","ALB"
"log(temp + 1)14",-0.0359210382796223,0.0182883554502533,0.0510876561160528,"AL","log","mN","all","ALB"
"log(temp + 1)15",-0.118114799480904,0.0284872701235808,5.2478086588534e-05,"AL","log","nN","all","ALB"
"temp8",-0.0235751714474052,0.0083172540103408,0.00577737821233816,"AL","lin","mN","lpj","ALB"
"temp9",-0.0595903800487456,0.0110568324789171,6.63830354237871e-07,"AL","lin","nN","lpj","ALB"
"temp10",-0.00556243138470376,0.00571850062942455,0.341770239213408,"AL","lin","mN","orc","ALB"
"temp11",-0.00572163694034631,0.00643895050736212,0.384284910142854,"AL","lin","nN","orc","ALB"
"temp12",-0.0182173968084871,0.0122229389547604,0.1422712982204,"AL","lin","mN","car","ALB"
"temp13",-0.0154833136542371,0.0236937044267781,0.516383743173737,"AL","lin","nN","car","ALB"
"temp14",-0.0282674824082818,0.00701663076920432,8.33413782016028e-05,"AL","lin","mN","all","ALB"
"temp15",-0.0678241016451323,0.0106129816268221,1.43173877347495e-09,"AL","lin","nN","all","ALB"
"I(temp^2)16",0.017646587693034,0.00361445003074818,5.09900966491734e-06,"AM","sq","mN","lpj","ARM"
"I(temp^2)17",0.0173193937981198,0.00328636029688151,1.08125669882881e-06,"AM","sq","nN","lpj","ARM"
