Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,7228792185.8025,7867259194.15068,7978511520.99477,8874475611.97397,9349917056.94245,10642666466.7061,11060389403.7128,13426265139.5021,15354604611.6719,15420069703.0793,17386481260.8962,18360253681.3442,18860486754.6234,19134211763.859,19566705069.6652,20084636379.3769,20323488524.6834
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4743487914.07233,5175145287.86025,4610020246.04493,5017058469.28803,5663797625.16614,6057217275.17097,6559561240.86077,6857137321.17618,7236243584.07859,7635298386.90052,8057257367.83525,8532849798.07516,9043392346.22084,9721650518.69391,10047742806.9025,10420206418.2643,10685442992.7045,10836881664.2072,10945469119.3118,11139690870.7706,11386850129.8411,11764322012.1672,12211628287.1601,12702457551.515
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,81507197551.6835,84848991404.2002,85782330258.1499,90157232197.2361,93042265026.6002,96577871097.6118,99475207230.5398,105045818835.45,112609117791.603,117451309856.641,124380937138.183,126495413069.533,130796257113.896,133935367284.63,136078333161.184,140977153154.987,145065490596.481,149997717276.762,154197653360.511,160057164188.21,165979279263.174,171290616199.596,173517394210.19,175426085546.502
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1765210866.50133,1847288558.72479,2014794627.07375,2079163152.69985,2164389691.24157,2240757202.45755,2422692295.39982,2532836662.47081,2753046641.70271,2977025605.91611,3137719374.5448,3288602531.52017,3339680716.04543,3154021640.92742,2986768713.36079,2927781285.72513,2927545020.99495,2781915941.59078,2683224788.58295,2750425228.26783,2789870187.50693,2893365390.02848,2903378514.30766,2949506390.20052
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,29932764107.0538,33986968355.6358,36459274698.2462,38169632669.2898,39002299281.5232,40193672967.3138,41884218272.0008,47607984243.6713,49031391565.5298,54401732106.9773,62577722356.6046,69803999474.4559,79583552534.9145,88469962099.1788,89229664824.2972,93159279071.8947,96393747204.0151,104627881965.967,109811717090.514,115107527232.243,116193649124.151,113195795293.516,113029156434.079,110764470655.247
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,824511645.778324,878966185.317249,927059773.66768,970920131.234148,1006918139.9154,1069381614.5052,1020746101.54234,1031233675.39432,1093897040.21001,1156982395.5026,1231883484.14811,1388433067.06436,1517770927.22872,1517553268.98274,1336012965.82455,1231261603.44532,1207145958.1923,1247861376.20468,1240363271.73109,1287444082.93699,1336692592.59259,1410163355.6217,1454503449.73032,1554626242.87881
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3083849087.13088,3264729194.59891,3373153453.15604,3619393654.82187,3738833645.45205,3959424830.6504,4339529614.36417,4912347523.37066,5600076176.7187,6188084175.20809,7048227875.50714,7978593955.03646,9071661326.99986,9697605958.60182,8330243518.3711,8513508875.79318,8913643792.84258,9555426146.01325,9870755208.83169,10226102396.4079,10553337672.9872,10574444348.3148,11367527674.612,11958639113.6524
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2358899781.95274,2386871336.54821,2555071151.65191,2605967807.51348,2638230786.23333,2839173960.82712,2754814813.59982,2664631917.33441,2717272980.20866,2932251756.57732,2967859536.68768,2999040092.39951,3053029591.03822,3050260247.54255,2729380539.81212,2628802064.83063,2719392023.2644,2682140077.74023,2794742549.43829,2803126777.08661,2962905027.93296,3025126021.24334,3085628514.57589,..
